pub2	Publications: 2	0.11	0.31	29,872.00	0.10	0.31	10,824.00	0.11	0.32	5,767.00	0.12	0.32	4,946.00	0.11	0.31	8,335.00	0.13	0.33	0.12	0.33	4,195.00	0.13	0.34	2,391.00	0.13	0.33	3,280.00	0.12	0.33	5,311.00
pub3	Publications: 3	0.08	0.28	29,872.00	0.08	0.27	10,824.00	0.07	0.26	5,767.00	0.09	0.29	4,946.00	0.09	0.28	8,335.00	0.11	0.31	0.11	0.32	4,195.00	0.10	0.30	2,391.00	0.11	0.31	3,280.00	0.12	0.32	5,311.00
pub45	Publications: 4-5	0.09	0.29	29,872.00	0.10	0.30	10,824.00	0.08	0.26	5,767.00	0.09	0.28	4,946.00	0.11	0.31	8,335.00	0.14	0.35	0.17	0.38	4,195.00	0.11	0.31	2,391.00	0.11	0.31	3,280.00	0.15	0.36	5,311.00
pub6	Publications: 6+	0.09	0.28	29,872.00	0.10	0.30	10,824.00	0.06	0.23	5,767.00	0.07	0.26	4,946.00	0.10	0.30	8,335.00	0.14	0.34	0.19	0.40	4,195.00	0.09	0.28	2,391.00	0.09	0.29	3,280.00	0.14	0.35	5,311.00
auth1	1 author	0.37	0.48	29,872.00	0.38	0.49	10,824.00	0.30	0.46	5,767.00	0.34	0.47	4,946.00	0.42	0.49	8,335.00	0.30	0.46	0.26	0.44	4,195.00	0.27	0.45	2,391.00	0.31	0.46	3,280.00	0.35	0.48	5,311.00
auth2	2 authors	0.39	0.49	29,872.00	0.38	0.48	10,824.00	0.41	0.49	5,767.00	0.42	0.49	4,946.00	0.38	0.48	8,335.00	0.42	0.49	0.42	0.49	4,195.00	0.43	0.49	2,391.00	0.43	0.50	3,280.00	0.42	0.49	5,311.00
auth3	3 authors	0.19	0.39	29,872.00	0.19	0.39	10,824.00	0.23	0.42	5,767.00	0.20	0.40	4,946.00	0.17	0.37	8,335.00	0.22	0.41	0.24	0.43	4,195.00	0.24	0.42	2,391.00	0.21	0.41	3,280.00	0.19	0.39	5,311.00
auth4	4+ authors	0.05	0.21	29,872.00	0.06	0.23	10,824.00	0.06	0.23	5,767.00	0.04	0.19	4,946.00	0.04	0.18	8,335.00	0.05	0.23	0.08	0.27	4,195.00	0.06	0.24	2,391.00	0.04	0.20	3,280.00	0.04	0.20	5,311.00
fr_dev	Field Fraction: Development	0.05	0.15	29,872.00	0.06	0.16	10,824.00	0.05	0.16	5,767.00	0.04	0.13	4,946.00	0.04	0.14	8,335.00	0.05	0.15	0.06	0.16	4,195.00	0.05	0.16	2,391.00	0.04	0.13	3,280.00	0.04	0.13	5,311.00
fr_metrics	Field Fraction: Econometrics	0.07	0.19	29,872.00	0.04	0.13	10,824.00	0.11	0.26	5,767.00	0.04	0.12	4,946.00	0.09	0.23	8,335.00	0.06	0.19	0.02	0.10	4,195.00	0.09	0.24	2,391.00	0.03	0.11	3,280.00	0.09	0.24	5,311.00
fr_fin	Field Fraction: Finance	0.07	0.20	29,872.00	0.09	0.23	10,824.00	0.04	0.16	5,767.00	0.04	0.15	4,946.00	0.07	0.20	8,335.00	0.06	0.18	0.08	0.20	4,195.00	0.03	0.15	2,391.00	0.04	0.15	3,280.00	0.07	0.19	5,311.00
fr_healthurblaw	Field Fraction: Health, Urban, Law	0.05	0.16	29,872.00	0.07	0.18	10,824.00	0.05	0.19	5,767.00	0.03	0.13	4,946.00	0.03	0.13	8,335.00	0.05	0.16	0.08	0.20	4,195.00	0.05	0.17	2,391.00	0.03	0.12	3,280.00	0.03	0.13	5,311.00
fr_hist	Field Fraction: History	0.01	0.07	29,872.00	0.02	0.08	10,824.00	0.01	0.07	5,767.00	0.01	0.05	4,946.00	0.01	0.05	8,335.00	0.01	0.07	0.02	0.09	4,195.00	0.01	0.07	2,391.00	0.01	0.06	3,280.00	0.01	0.05	5,311.00
fr_internat	Field Fraction: International	0.06	0.19	29,872.00	0.07	0.20	10,824.00	0.05	0.18	5,767.00	0.06	0.18	4,946.00	0.06	0.19	8,335.00	0.06	0.19	0.07	0.21	4,195.00	0.05	0.17	2,391.00	0.06	0.19	3,280.00	0.05	0.19	5,311.00
fr_io	Field Fraction: Industrial Organization	0.05	0.16	29,872.00	0.05	0.15	10,824.00	0.05	0.18	5,767.00	0.05	0.15	4,946.00	0.05	0.16	8,335.00	0.05	0.16	0.04	0.14	4,195.00	0.05	0.18	2,391.00	0.05	0.16	3,280.00	0.06	0.17	5,311.00
fr_lab	Field Fraction: Lab/Experiments	0.02	0.10	29,872.00	0.03	0.11	10,824.00	0.01	0.06	5,767.00	0.03	0.11	4,946.00	0.02	0.10	8,335.00	0.03	0.11	0.03	0.11	4,195.00	0.01	0.06	2,391.00	0.03	0.11	3,280.00	0.03	0.11	5,311.00
fr_labor	Field Fraction: Labor	0.11	0.24	29,872.00	0.13	0.26	10,824.00	0.11	0.27	5,767.00	0.11	0.24	4,946.00	0.08	0.20	8,335.00	0.12	0.26	0.18	0.30	4,195.00	0.11	0.27	2,391.00	0.12	0.25	3,280.00	0.09	0.22	5,311.00
fr_macro	Field Fraction: Macro	0.10	0.23	29,872.00	0.11	0.23	10,824.00	0.07	0.21	5,767.00	0.10	0.23	4,946.00	0.12	0.25	8,335.00	0.10	0.22	0.09	0.21	4,195.00	0.07	0.21	2,391.00	0.10	0.23	3,280.00	0.11	0.23	5,311.00
fr_micro	Field Fraction: Micro	0.11	0.21	29,872.00	0.12	0.22	10,824.00	0.05	0.17	5,767.00	0.10	0.20	4,946.00	0.13	0.23	8,335.00	0.11	0.21	0.12	0.22	4,195.00	0.05	0.17	2,391.00	0.10	0.20	3,280.00	0.13	0.23	5,311.00
fr_pub	Field Fraction: Public	0.05	0.15	29,872.00	0.06	0.16	10,824.00	0.03	0.14	5,767.00	0.05	0.15	4,946.00	0.05	0.15	8,335.00	0.05	0.15	0.06	0.17	4,195.00	0.03	0.14	2,391.00	0.05	0.15	3,280.00	0.05	0.15	5,311.00
fr_theory	Field Fraction: Theory	0.09	0.21	29,872.00	0.08	0.18	10,824.00	0.02	0.09	5,767.00	0.07	0.18	4,946.00	0.17	0.28	8,335.00	0.10	0.23	0.06	0.17	4,195.00	0.02	0.09	2,391.00	0.07	0.18	3,280.00	0.19	0.30	5,311.00
fr_other	Field Fraction: Unclassified	0.06	0.17	29,872.00	0.08	0.18	10,824.00	0.05	0.18	5,767.00	0.05	0.15	4,946.00	0.05	0.15	8,335.00	0.05	0.15	0.07	0.17	4,195.00	0.05	0.17	2,391.00	0.05	0.14	3,280.00	0.04	0.12	5,311.00
missingfield	Field Missing	0.11	0.31	29,872.00	0.02	0.13	10,824.00	0.30	0.46	5,767.00	0.23	0.42	4,946.00	0.02	0.14	8,335.00	0.10	0.30	0.01	0.10	4,195.00	0.33	0.47	2,391.00	0.20	0.40	3,280.00	0.01	0.11	5,311.00
frDefReject	frDefReject																0.12	0.24	0.13	0.25	4,195.00	0.10	0.23	2,391.00	0.11	0.22	3,280.00	0.14	0.25	5,311.00
frReject	frReject																0.54	0.35	0.60	0.33	4,195.00	0.44	0.37	2,391.00	0.50	0.35	3,280.00	0.56	0.34	5,311.00
frNoRec	frNoRec																0.06	0.16	0.03	0.11	4,195.00	0.06	0.17	2,391.00	0.10	0.23	3,280.00	0.05	0.14	5,311.00
frWeakRR	frWeakRR																0.10	0.20	0.09	0.18	4,195.00	0.13	0.23	2,391.00	0.11	0.20	3,280.00	0.10	0.19	5,311.00
frRR	frRR																0.10	0.20	0.08	0.17	4,195.00	0.16	0.26	2,391.00	0.11	0.20	3,280.00	0.09	0.18	5,311.00
frStrongRR	frStrongRR																0.04	0.13	0.03	0.11	4,195.00	0.07	0.18	2,391.00	0.04	0.13	3,280.00	0.03	0.11	5,311.00
frAccept	frAccept																0.03	0.12	0.03	0.10	4,195.00	0.05	0.16	2,391.00	0.04	0.13	3,280.00	0.03	0.10	5,311.00
refpub5_3plus	Share of referees with at least 3 recent publications																0.44	0.32	0.46	0.29	4,195.00	0.36	0.32	2,391.00	0.39	0.31	3,280.00	0.50	0.32	5,311.00
																														
